SquareFeet,Bedrooms,Bathrooms,YearBuilt,Price,state_Rural,state_Suburb,state_Urban,0
2126,4,1,1969,215355.28,1,0,0,0
2459,3,2,1980,195014.22,1,0,0,0
2044,4,3,1957,184992.33,1,0,0,0
2123,5,2,1956,190773.16,1,0,0,0
1130,4,3,1962,143050.2,1,0,0,0
2332,3,3,1978,263954.16,1,0,0,0
1343,2,3,2013,151733.92,1,0,0,0
2437,2,1,2004,276162.88,1,0,0,0
1805,5,1,2002,243985.2,1,0,0,0
1385,4,3,1996,88030.54,1,0,0,0
1955,3,1,2014,240976.55,1,0,0,0
1276,4,1,1965,104747.336,1,0,0,0
1459,3,2,2006,77493.93,1,0,0,0
1021,4,3,2013,110408.67,1,0,0,0
1747,5,3,1982,228683.23,1,0,0,0
1856,4,2,1959,124711.71,1,0,0,0
1699,5,1,1960,156313.6,1,0,0,0
1957,4,2,1994,239300.0,1,0,0,0
1957,3,2,1992,304197.6,1,0,0,0
1562,3,3,2013,89378.55,1,0,0,0
2899,3,3,1988,427295.4,1,0,0,0
1831,2,2,2000,190058.89,1,0,0,0
2154,2,1,2015,166810.39,1,0,0,0
1020,5,1,1983,220053.86,1,0,0,0
1387,3,1,2002,152828.72,1,0,0,0
1600,4,2,2002,256725.98,1,0,0,0
1564,2,2,1983,163053.39,1,0,0,0
1897,4,2,1975,304004.7,1,0,0,0
2451,5,2,1972,216047.22,1,0,0,0
2966,3,2,1956,277419.0,1,0,0,0
1034,5,3,1993,117295.375,1,0,0,0
2955,5,3,2012,378403.56,1,0,0,0
2411,5,1,1958,337645.7,1,0,0,0
2025,5,2,1993,240145.97,1,0,0,0
1565,5,3,1957,149848.61,1,0,0,0
2795,2,1,1977,305658.56,1,0,0,0
2500,4,3,1984,230749.28,1,0,0,0
1729,5,1,2019,171877.06,1,0,0,0
2981,3,2,1982,267127.0,1,0,0,0
2886,5,3,1969,315607.03,1,0,0,0
2294,4,1,1994,353343.62,1,0,0,0
2485,4,2,1978,222855.08,1,0,0,0
2750,4,2,1994,366548.8,1,0,0,0
2275,5,2,1964,259473.28,1,0,0,0
2076,3,2,1966,184051.98,1,0,0,0
1791,5,3,2003,242865.27,1,0,0,0
1216,4,3,2003,107868.93,1,0,0,0
2064,2,3,1958,296199.34,1,0,0,0
2880,5,2,1955,312245.88,1,0,0,0
1520,2,1,2003,201334.94,1,0,0,0
2152,3,1,1982,306839.62,1,0,0,0
2162,2,3,1956,220712.47,1,0,0,0
1391,5,1,1995,51154.133,1,0,0,0
1230,4,1,1971,136418.48,1,0,0,0
1040,3,2,2014,98933.44,1,0,0,0
1929,4,1,1976,252779.69,1,0,0,0
2071,4,3,1966,185482.06,1,0,0,0
2597,2,1,1982,235810.22,1,0,0,0
1804,4,3,1978,216771.36,1,0,0,0
1098,5,2,2012,102580.5,1,0,0,0
1766,3,2,2018,240727.05,1,0,0,0
1870,4,3,1958,208692.16,1,0,0,0
1794,3,1,1963,114333.695,1,0,0,0
1392,5,2,2005,225281.33,1,0,0,0
2038,2,3,1950,206119.19,1,0,0,0
2714,4,3,1999,290954.5,1,0,0,0
1484,3,2,1982,273072.34,1,0,0,0
2194,5,2,1996,245433.69,1,0,0,0
2059,4,3,1967,226582.28,1,0,0,0
2183,2,1,1984,194059.38,1,0,0,0
2722,3,1,1985,345978.97,1,0,0,0
1577,4,2,1979,181472.02,1,0,0,0
1556,2,3,1972,174119.78,1,0,0,0
2976,4,2,2012,352084.06,1,0,0,0
1795,2,3,1985,265399.28,1,0,0,0
2051,3,2,1986,205543.45,1,0,0,0
2354,4,1,2011,265274.0,1,0,0,0
2529,5,3,1985,291195.66,1,0,0,0
2496,3,2,1970,316708.6,1,0,0,0
2254,4,3,1966,267724.7,1,0,0,0
2400,3,2,2006,302581.53,1,0,0,0
2981,3,3,1987,296942.75,1,0,0,0
1632,4,3,2005,211665.62,1,0,0,0
2282,5,1,1950,351438.53,1,0,0,0
2382,5,2,2014,207718.73,1,0,0,0
2479,3,3,1993,325104.8,1,0,0,0
1648,2,1,2002,168976.5,1,0,0,0
1317,4,3,2010,72491.39,1,0,0,0
2842,2,3,1995,297609.72,1,0,0,0
2998,2,3,2019,227602.84,1,0,0,0
2715,5,1,1980,229019.48,1,0,0,0
2830,5,3,1975,272012.25,1,0,0,0
2136,4,1,1995,115459.88,1,0,0,0
2648,4,2,2003,388951.78,1,0,0,0
2589,4,1,1964,313948.44,1,0,0,0
2759,4,2,2021,197521.83,1,0,0,0
2076,2,3,2020,225867.23,1,0,0,0
2707,2,2,1983,249678.23,1,0,0,0
1729,2,2,1982,108636.48,1,0,0,0
1246,2,3,1988,130941.484,1,0,0,0
2633,4,2,1969,284003.78,1,0,0,0
1197,4,2,1958,90959.79,1,0,0,0
2930,3,3,1972,370459.84,1,0,0,0
2534,5,3,1984,348379.28,1,0,0,0
1751,3,1,2008,270704.16,1,0,0,0
2794,4,3,1966,411678.03,1,0,0,0
2955,3,2,2016,296998.84,1,0,0,0
1402,2,2,1970,109470.14,1,0,0,0
2986,3,1,1999,310583.06,1,0,0,0
2534,5,3,2017,233756.89,1,0,0,0
1863,5,1,2013,331026.6,1,0,0,0
2663,2,2,1953,339772.94,1,0,0,0
2976,5,1,1954,265075.94,1,0,0,0
2969,4,3,1990,384847.06,1,0,0,0
1262,3,3,2016,189650.2,1,0,0,0
2787,3,3,1986,308299.3,1,0,0,0
1623,5,2,1986,236531.67,1,0,0,0
1880,5,1,1997,172765.25,1,0,0,0
1001,3,3,1998,151917.36,1,0,0,0
1896,2,1,1996,196497.06,1,0,0,0
2675,3,2,1985,350608.12,1,0,0,0
2183,5,1,2001,215636.31,1,0,0,0
2014,2,3,1980,210336.98,1,0,0,0
2122,3,2,1997,283190.38,1,0,0,0
2682,4,2,2005,257018.56,1,0,0,0
2154,2,3,2018,301758.3,1,0,0,0
2696,2,1,2018,256546.84,1,0,0,0
2943,4,1,2009,245612.12,1,0,0,0
1627,4,1,1981,192616.9,1,0,0,0
2443,2,3,1974,241617.28,1,0,0,0
2445,5,2,2010,230463.81,1,0,0,0
2919,5,2,1971,316117.16,1,0,0,0
2704,3,1,1968,305226.16,1,0,0,0
2527,4,2,1974,299144.47,1,0,0,0
1400,4,1,1964,173748.31,1,0,0,0
1639,2,2,1989,198112.88,1,0,0,0
2398,3,1,1962,335992.38,1,0,0,0
2045,2,1,1987,265649.1,1,0,0,0
2693,4,1,1959,257512.56,1,0,0,0
1037,2,2,1971,86619.305,1,0,0,0
2388,3,3,1987,274896.25,1,0,0,0
1562,5,1,2007,181237.83,1,0,0,0
1437,3,2,1975,49052.37,1,0,0,0
2799,4,1,1998,182649.23,1,0,0,0
2306,5,3,2011,347942.0,1,0,0,0
1026,2,2,1958,31998.016,1,0,0,0
1225,5,3,2009,181103.27,1,0,0,0
2300,3,1,1979,172216.08,1,0,0,0
